construction_type,new_construction,elevator,floors_in_the_building,floor_area,number_of_rooms,number_of_bathrooms,ceiling_height,floor,balcony,furniture,renovation,price,currency,datetime,reg_id,Latitude,Longitude
Panels,0.0,1.0,9.0,80.0,2.0,1.0,2.8,8.0,Closed balcony,By agreement,Euro Renovation,71000.0,USD,2022-12-15,1,40.2059466,44.4570316
Stone,0.0,0.0,5.0,210.0,4.0,1.0,2.75,5.0,Open balcony,By agreement,No Renovation,400000.0,USD,2022-12-15,1,40.1867311,44.5182194
Monolith,1.0,1.0,8.0,90.0,3.0,2.0,3.0,4.0,Closed balcony,Available,Major Renovation,210000.0,USD,2022-12-15,1,40.2124197,44.5229777
Panels,0.0,1.0,9.0,64.0,2.0,1.0,2.8,8.0,Closed balcony,Not available,Partial Renovation,67000.0,USD,2022-12-15,1,40.1931459,44.473594
Monolith,1.0,1.0,14.0,60.0,2.0,1.0,3.0,14.0,Open balcony,Available,Designer Renovation,145000.0,USD,2022-12-15,1,40.210123,44.5091929
Monolith,1.0,1.0,15.0,102.0,3.0,2.0,3.0,8.0,Multiple balconies,Not available,Major Renovation,200000.0,USD,2022-12-15,1,40.1686452,44.45749199999999
Stone,0.0,0.0,5.0,78.0,4.0,1.0,2.8,5.0,Open balcony,By agreement,Major Renovation,110000.0,USD,2022-12-15,1,40.1899228,44.582483
Stone,0.0,0.0,4.0,77.0,3.0,1.0,2.7,3.0,Not available,By agreement,Euro Renovation,117000.0,USD,2022-12-15,1,40.21997080000001,44.4359686
Panels,0.0,1.0,9.0,72.0,3.0,1.0,2.75,5.0,Open balcony,Available,Major Renovation,223.08,AMD,2022-12-15,1,40.1797507,44.4413836
Stone,0.0,0.0,4.0,93.0,3.0,2.0,3.2,4.0,Closed balcony,Available,Designer Renovation,155000.0,USD,2022-12-15,1,40.2026752,44.5067101
Monolith,1.0,1.0,10.0,300.0,4.0,3.0,3.0,8.0,Open balcony,Not available,Major Renovation,1250000.0,USD,2022-12-15,1,40.1875964,44.5104248
Stone,0.0,0.0,5.0,60.0,3.0,1.0,2.75,4.0,Closed balcony,Not available,Major Renovation,102000.0,USD,2022-12-15,1,40.2057999,44.5062259
Monolith,1.0,1.0,10.0,53.0,2.0,1.0,3.0,9.0,Open balcony,Available,Designer Renovation,128000.0,USD,2022-12-15,1,40.1646517,44.5190558
Panels,0.0,1.0,11.0,40.0,2.0,1.0,2.8,3.0,Not available,Not available,Major Renovation,184000.0,USD,2022-12-15,1,40.1844812,44.5059276
Panels,0.0,0.0,4.0,75.0,3.0,1.0,2.6,1.0,Closed balcony,Available,Major Renovation,79000.0,USD,2022-12-15,1,40.1379347,44.4787217
Monolith,1.0,1.0,15.0,89.0,2.0,2.0,3.0,5.0,Open balcony,Available,Euro Renovation,235000.0,USD,2022-12-15,1,40.1646517,44.5190558
Stone,0.0,0.0,5.0,43.0,1.0,1.0,2.5,1.0,Closed balcony,Not available,No Renovation,69000.0,USD,2022-12-15,1,40.21997080000001,44.4359686
Stone,0.0,0.0,5.0,55.0,2.0,1.0,3.0,4.0,Open balcony,Available,Major Renovation,200000.0,USD,2022-12-15,1,40.1792461,44.5095374
Monolith,1.0,0.0,5.0,170.0,5.0,2.0,3.0,2.0,Closed balcony,Available,Designer Renovation,255000.0,USD,2022-12-15,1,40.1997976,44.4794977
Monolith,1.0,0.0,4.0,58.0,3.0,1.0,3.0,3.0,Open balcony,Not available,No Renovation,58000.0,USD,2022-12-15,1,40.1872023,44.515209
Panels,0.0,1.0,9.0,80.0,3.0,2.0,2.7,6.0,Closed balcony,Not available,Partial Renovation,80000.0,USD,2022-12-15,1,40.160491,44.4426945
