cell_id,area_km2,cx,cy,pop_sum,pop_density_per_km2,biz_count,biz_density_per_km2,rent_listings,implied_rent_per_m2_month,dist_to_g_m,dist_to_nearest_herit_m,herit_cnt_500m,herit_density_500m,R_implied,rent_missing,log_rent,M_obs,y_business
349,0.24131128307216068,449923.11501148075,4449929.564407171,938.93408203125,3890.966348848575,0,0.0,0,,8898.356904545892,3944.4603342564474,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
350,0.25,449916.1575750762,4450421.847749205,1003.3917846679688,4013.567138671875,0,0.0,0,,9047.84874945931,3763.234691754724,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
351,0.25,449916.1575750762,4450921.847749205,809.5492553710938,3238.197021484375,0,0.0,0,,9217.551614896714,3530.147388030248,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
352,0.25,449916.1575750762,4451421.847749205,547.9105224609375,2191.64208984375,0,0.0,0,,9410.788944263793,3355.8822710588774,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
353,0.25,449916.1575750762,4451921.847749205,363.6907653808594,1454.7630615234375,0,0.0,0,,9626.143533818216,3249.9155455484993,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
354,0.23299346215249112,449904.37789966597,4452408.602049155,154.3724365234375,662.5612371148973,0,0.0,0,,9865.92529658444,3230.5996613364578,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
355,0.07600403893447406,449951.5585514998,4452844.633623233,4.308570861816406,56.68870920834861,0,0.0,0,,10046.645737298168,3218.1293471814824,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
356,0.0009480127953992223,450152.37714075134,4453187.135330506,0.0,0.0,0,0.0,0,,10063.279987051903,3091.821488276605,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
377,0.04535730211972259,450412.95833144523,4444126.468163602,172.2140350341797,3796.8315350770463,0,0.0,0,,8793.747403990057,1691.2167671850204,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
378,0.23951800339421184,450408.4823706855,4444412.420730043,983.8621826171875,4107.675284007329,0,0.0,0,,8689.856229387135,1575.3517573079616,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
379,0.17933619933268816,450348.77068701526,4444932.47932142,619.87548828125,3456.4995276347613,0,0.0,0,,8571.339957026785,1435.9406493354431,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
380,0.08900191350256625,450356.7044825187,4445287.219916795,301.60528564453125,3388.7505759731207,0,0.0,0,,8461.180449161793,1492.6910437632016,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
382,0.04422923599931128,450539.5972152157,4446589.9156521335,133.359619140625,3015.1915611362047,0,0.0,0,,8024.269284113336,2339.9194345041938,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
383,0.24127564686814795,450423.7708542583,4446929.078937625,1394.622802734375,5780.2054241160395,0,0.0,0,,8105.302555485447,2414.406381302493,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
384,0.25,450416.1575750762,4447421.847749205,990.7023315429688,3962.809326171875,0,0.0,0,,8088.761202369984,2411.202506558016,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
385,0.25,450416.1575750762,4447921.847749205,857.54296875,3430.171875,0,0.0,0,,8094.9211589217175,2501.503635988882,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
386,0.25,450416.1575750762,4448421.847749205,1066.2235107421875,4264.89404296875,0,0.0,0,,8131.877971867946,2683.494615999729,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
387,0.25,450416.1575750762,4448921.847749205,913.439697265625,3653.7587890625,0,0.0,0,,8199.21521424726,2936.176960133458,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
388,0.25,450416.1575750762,4449421.847749205,923.1022338867188,3692.408935546875,0,0.0,0,,8296.193157692049,3238.922716454814,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
389,0.25,450416.1575750762,4449921.847749205,1241.1044921875,4964.41796875,0,0.0,0,,8421.78791527838,3556.3177383548327,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
390,0.25,450416.1575750762,4450421.847749205,1462.37548828125,5849.501953125,0,0.0,0,,8574.742122660109,3345.642614081301,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
391,0.25,450416.1575750762,4450921.847749205,1400.433349609375,5601.7333984375,0,0.0,0,,8753.62172191112,3081.1247519610874,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
392,0.25,450416.1575750762,4451421.847749205,722.8934326171875,2891.57373046875,0,0.0,0,,8956.87356338733,2879.8150935672556,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
393,0.25,450416.1575750762,4451921.847749205,588.69287109375,2354.771484375,0,0.0,0,,9182.87944006124,2755.601605662235,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
394,0.25,450416.1575750762,4452421.847749205,420.7772216796875,1683.10888671875,0,0.0,0,,9430.003477777303,2719.070695130746,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
395,0.24836798928759427,450414.71520911134,4452920.283178151,54.448394775390625,219.2246872536495,0,0.0,0,,9696.971219683066,2774.793078478762,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
396,0.03643451635410168,450335.1982297202,4453225.620022741,5.2830047607421875,144.99999696434682,0,0.0,0,,9933.939768176102,2926.8633861684098,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
413,0.00031936130095566625,451160.8069037387,4442158.584146657,0.0,0.0,0,0.0,0,,9122.622272552673,3251.55486961441,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
414,0.020629126276343872,451119.28548869357,4442348.390247327,59.95136260986328,2906.151322492585,0,0.0,0,,9045.14726610373,3125.021649660045,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
417,0.02271145436914316,450797.69586451846,4444130.234605186,80.247802734375,3533.3625680706473,0,0.0,0,,8439.584557307862,2038.7529752937492,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
418,0.10835315939888174,450840.4956089624,4444321.176859384,416.5972900390625,3844.809808502566,0,0.0,0,,8324.11236382665,2014.7438911163576,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
419,0.0006189868290040977,450673.05016338214,4445142.547440524,0.0,0.0,0,0.0,0,,8198.737291833197,1775.5951521749623,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
422,0.02600102332212993,450803.36459036166,4446628.876564369,67.25499725341797,2586.628857648693,0,0.0,0,,7757.718966613109,2084.4109639154376,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
423,0.24820075162908095,450914.9450770529,4446923.605936656,1148.3095703125,4626.535426566999,0,0.0,0,,7616.240519122992,1928.834304954645,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
424,0.25,450916.1575750762,4447421.847749205,794.7051391601562,3178.820556640625,0,0.0,0,,7588.853224697069,1913.2385341725721,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
425,0.25,450916.1575750762,4447921.847749205,881.7457275390625,3526.98291015625,0,0.0,0,,7595.418622181908,2025.8589787733865,0,0.0,6.588235294117648,1,2.0265990603054562,0.0,0
426,0.25,450916.1575750762,4448421.847749205,1222.2635498046875,4889.05419921875,2,8.0,0,,7634.79369900591,2246.7148272779714,0,0.0,6.588235294117648,1,2.0265990603054562,8.0,1
427,0.25,450916.1575750762,4448921.847749205,1106.86328125,4427.453125,3,12.0,0,,7706.475563224278,2534.160897807473,0,0.0,6.588235294117648,1,2.0265990603054562,12.0,1
