cell_id,district,price_2022_amd_m2,rent_implied_amd_m2_month
1082,Nubarashen,453.0,2.265
1083,Nubarashen,453.0,2.265
1084,Nubarashen,453.0,2.265
1085,Nubarashen,453.0,2.265
1086,Nubarashen,453.0,2.265
1087,Nubarashen,453.0,2.265
1088,Erebuni,416.0,2.08
1089,Erebuni,416.0,2.08
1090,Erebuni,416.0,2.08
1091,Erebuni,416.0,2.08
1092,Erebuni,416.0,2.08
1093,Erebuni,416.0,2.08
1094,Erebuni,416.0,2.08
1095,Erebuni,416.0,2.08
1096,Erebuni,416.0,2.08
1097,Erebuni,416.0,2.08
1098,Erebuni,416.0,2.08
1099,Erebuni,416.0,2.08
1100,Erebuni,416.0,2.08
1101,Erebuni,416.0,2.08
1102,Kentron,870.0,4.35
1103,Kentron,870.0,4.35
1104,Kentron,870.0,4.35
1105,Kentron,870.0,4.35
1106,Kentron,870.0,4.35
1107,Kentron,870.0,4.35
1108,Qanaqer-Zeytun,943.0,4.715
1109,Qanaqer-Zeytun,943.0,4.715
1110,Arabkir,900.0,4.5
1111,Arabkir,900.0,4.5
1112,Arabkir,900.0,4.5
1113,Arabkir,900.0,4.5
1114,Arabkir,900.0,4.5
1115,Arabkir,900.0,4.5
1116,,,
1117,,,
1118,,,
1119,,,
1120,Nubarashen,453.0,2.265
1121,Nubarashen,453.0,2.265
1122,Nubarashen,453.0,2.265
1123,Nubarashen,453.0,2.265
1124,Nubarashen,453.0,2.265
1125,Nubarashen,453.0,2.265
1126,Nubarashen,453.0,2.265
1127,Nubarashen,453.0,2.265
1128,Erebuni,416.0,2.08
1129,Erebuni,416.0,2.08
1130,Erebuni,416.0,2.08
1131,Erebuni,416.0,2.08
1132,Erebuni,416.0,2.08
1133,Erebuni,416.0,2.08
1134,Erebuni,416.0,2.08
1135,Erebuni,416.0,2.08
1136,Erebuni,416.0,2.08
1137,Erebuni,416.0,2.08
1138,Erebuni,416.0,2.08
1139,Erebuni,416.0,2.08
1140,Erebuni,416.0,2.08
1141,Erebuni,416.0,2.08
1142,,,
1143,,,
1144,,,
1145,Kentron,870.0,4.35
1146,,,
1147,Kentron,870.0,4.35
1148,Kentron,870.0,4.35
1149,Qanaqer-Zeytun,943.0,4.715
1150,Qanaqer-Zeytun,943.0,4.715
1151,Qanaqer-Zeytun,943.0,4.715
1152,Arabkir,900.0,4.5
1153,Arabkir,900.0,4.5
1154,Arabkir,900.0,4.5
1155,Arabkir,900.0,4.5
1156,Arabkir,900.0,4.5
1157,,,
1158,,,
1159,,,
1160,,,
1161,Nubarashen,453.0,2.265
1162,Nubarashen,453.0,2.265
1163,Nubarashen,453.0,2.265
1164,Nubarashen,453.0,2.265
1165,Nubarashen,453.0,2.265
1166,Nubarashen,453.0,2.265
1167,Nubarashen,453.0,2.265
1168,Nubarashen,453.0,2.265
1169,Nubarashen,453.0,2.265
1170,Nubarashen,453.0,2.265
1171,Nubarashen,453.0,2.265
1172,Erebuni,416.0,2.08
1173,Erebuni,416.0,2.08
1174,Erebuni,416.0,2.08
1175,Erebuni,416.0,2.08
